id,Keyword,Name,Full_Address,Street_Address,City,State,Zip,Plus_Code,Website,Phone,Email,Facebook,Twitter,Instagram,Lat,Lng,Verification_Text,Category,Rating,Reviews,Top_Image_URL,Sub_Title,Pricing,Amenities,Description,Summary,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,External_Urls,Photo_Tags,URL
1,San Diego California roofing contractor,Roofing Specialists of San Diego,"7905 Silverton Ave UNIT 112, San Diego, CA 92126",7905 Silverton Ave UNIT 112,San Diego,CA,92126,"VRRX+67 San Diego, California",roofingspecialistsofsandiego.com,(858) 922-5903,,https://www.facebook.com/RoofingSpecialistsOfSanDiego,,,32.890513,-117.151819,,Roofing contractor,4.9,27 reviews,https://lh5.googleusercontent.com/p/AF1QipPz3WyETwH9sAN-WnkkEba6dOJ1sdR0tWWRaNOP=w583-h240-k-no,,,,,,7AM–5PM,7AM–5PM,7AM–5PM,7AM–5PM,7AM–5PM,7AM–5PM,Closed,,,"https://www.google.com/maps/place/Roofing+Specialists+of+San+Diego/@33.1126338,-118.5200142,7z/data=!4m8!1m2!2m1!1sSan+Diego+California+roofing+contractor!3m4!1s0x80dc06e28c3a67e9:0xc4a4a4e434311f45!8m2!3d32.890513!4d-117.151819?hl=en"
2,San Diego California roofing contractor,"San Diego Roofing, INC.","2811 Adams Ave, San Diego, CA 92116",2811 Adams Ave,San Diego,CA,92116,"QV78+3G San Diego, California",sandiegoroofing.com,(619) 280-1000,,,,,32.7626691,-117.1336594,,Roofing contractor,4.3,16 reviews,https://lh5.googleusercontent.com/p/AF1QipO7CsBpTBF6w2cblBCLBedxGoaQ7iRGyRrSI28Q=w408-h306-k-no,,,,,,7AM–5PM,7AM–5PM,7AM–5PM,7AM–5PM,7AM–5PM,9AM–5PM,9AM–5PM,,,"https://www.google.com/maps/place/San+Diego+Roofing,+INC./@33.1126338,-118.5200142,7z/data=!4m8!1m2!2m1!1sSan+Diego+California+roofing+contractor!3m4!1s0x80d954fdf45d46f9:0x6d67d8e6ebb9c63a!8m2!3d32.7626691!4d-117.1336594?hl=en"
3,San Diego California roofing contractor,TA Marsh Metal Roofing,"986 Tenth Ave, San Diego, CA 92101",986 Tenth Ave,San Diego,CA,92101,"PR8V+6M San Diego, California",,,,,,,32.7156073,-117.1558423,,Roofing contractor,4.6,23 reviews,https://lh5.googleusercontent.com/p/AF1QipOSoJH4Ca69nH0cDPPY4kg94P3rPtHVVBLPVvt-=w408-h336-k-no,,,,,,8AM–3PM,8AM–3PM,8AM–3PM,8AM–3PM,8AM–3PM,Closed,Closed,,,"https://www.google.com/maps/place/TA+Marsh+Metal+Roofing/@33.1126338,-118.5200142,7z/data=!4m8!1m2!2m1!1sSan+Diego+California+roofing+contractor!3m4!1s0x80d9535f53bd1261:0x9acf6bb28f0c14d3!8m2!3d32.7156073!4d-117.1558423?hl=en"
5,San Diego California roofing contractor,JC Built of Mira Mesa Roofing Service in San Diego CA | Roof Repair in San Diego CA,,,,,,,jcbuiltofmiramesa.com,(858) 248-1527,,,,,32.8245525,-117.0951633,,Roofing contractor,5,11 reviews,https://lh5.googleusercontent.com/p/AF1QipPk4_8VG7zDjFcR-OYG8DnLmVzbdWSjMgPZa5C4=w408-h259-k-no,,,,,,7AM–7PM,7AM–7PM,7AM–7PM,7AM–7PM,7AM–7PM,7AM–7PM,7AM–7PM,,,"https://www.google.com/maps/place/JC+Built+of+Mira+Mesa+Roofing+Service+in+San+Diego+CA+%7C+Roof+Repair+in+San+Diego+CA/@33.1126338,-118.5200142,7z/data=!4m8!1m2!2m1!1sSan+Diego+California+roofing+contractor!3m4!1s0x80dbf8c247e1dfc1:0x77ed2f25909f5c81!8m2!3d32.8245525!4d-117.0951633?hl=en"
6,San Diego California roofing contractor,RSI Roofing,"8285 Buckhorn St, San Diego, CA 92111",8285 Buckhorn St,San Diego,CA,92111,"RVG2+CP San Diego, California",thinkrsi.com,(858) 278-7200,info@thinkrsi.com,http://www.facebook.com/pages/RSI-Roofing/110319684205,http://twitter.com/thinkrsi,https://www.instagram.com/thinkrsi/?hl=en,32.8260196,-117.1481517,,Roofing contractor,4.7,37 reviews,https://lh5.googleusercontent.com/p/AF1QipNMeuXSfALdkBjx8NGTzmZAnD0olVeKiXgCXojB=w408-h305-k-no,,,,,,7:30AM–4PM,7:30AM–4PM,7:30AM–4PM,7:30AM–4PM,7:30AM–4PM,Closed,Closed,,,"https://www.google.com/maps/place/RSI+Roofing/@33.1126338,-118.5200142,7z/data=!4m8!1m2!2m1!1sSan+Diego+California+roofing+contractor!3m4!1s0x80dbffbe429392c9:0x5c0c50b45c2d8ced!8m2!3d32.8260196!4d-117.1481517?hl=en"
7,San Diego California roofing contractor,Nolanco Roofing,"4522 Niagara Ave, San Diego, CA 92107",4522 Niagara Ave,San Diego,CA,92107,"PQR4+FM San Diego, California",nolancoroof.com,(619) 212-6645,info@nolancoroof.com,,,,32.741213,-117.243355,Claim this business,Roofing contractor,4,4 reviews,//geo0.ggpht.com/cbk?panoid=b09g8xYDXHKLif5lP-DQ4A&output=thumbnail&cb_client=search.gws-prod.gps&thumb=2&w=408&h=240&yaw=42.75194&pitch=0&thumbfov=100,,,,,,8AM–5PM,8AM–5PM,8AM–5PM,8AM–5PM,8AM–5PM,Closed,Closed,,,"https://www.google.com/maps/place/Nolanco+Roofing/@33.1126338,-118.5200142,7z/data=!4m8!1m2!2m1!1sSan+Diego+California+roofing+contractor!3m4!1s0x80deaa4a6d55a021:0x404c919af82917aa!8m2!3d32.741213!4d-117.243355?hl=en"
8,San Diego California roofing contractor,"San Diego County Roofing, Inc.","1761 Hotel Cir S Suite 110, San Diego, CA 92108",1761 Hotel Cir S Suite 110,San Diego,CA,92108,"QR5C+G8 San Diego, California",sandiegocountyroofing.com,(855) 732-6868,info@sandiegocountyroofing.com,https://www.facebook.com/SanDiegoCountyRoofing/reviews/?ref=page_internal,https://twitter.com/sdcountyroofing,,32.7588438,-117.1791272,,Roofing contractor,4.4,7 reviews,https://lh5.googleusercontent.com/p/AF1QipPKQ_FpwankaQVOgJW3oM76pmCdKDeVGwOFAlUq=w426-h240-k-no,,,,,,8AM–5PM,8AM–5PM,8AM–5PM,8AM–5PM,8AM–5PM,Closed,Closed,,,"https://www.google.com/maps/place/San+Diego+County+Roofing,+Inc./@33.1126338,-118.5200142,7z/data=!4m8!1m2!2m1!1sSan+Diego+California+roofing+contractor!3m4!1s0x80dc0b8b9784c1f7:0xe097eb10363dba68!8m2!3d32.7588438!4d-117.1791272?hl=en"
12,San Diego California roofing contractor,San Diego Flat Roof & Repair,"1440 Hotel Cir N, San Diego, CA 92108",1440 Hotel Cir N,San Diego,CA,92108,"QR6F+5Q San Diego, California",,(619) 494-2188,,,,,32.7604328,-117.1755766,,Roofing contractor,5,1 review,https://lh5.googleusercontent.com/p/AF1QipMY2KstuyiwfCnYcEmim2kN_Zwl1-LfXB1PUQmZ=w440-h240-k-no,,,,,,8AM–7PM,8AM–7PM,8AM–7PM,8AM–7PM,8AM–7PM,8AM–7PM,9AM–4PM,,,"https://www.google.com/maps/place/San+Diego+Flat+Roof+%26+Repair/@33.1126338,-118.5200142,7z/data=!4m8!1m2!2m1!1sSan+Diego+California+roofing+contractor!3m4!1s0x80dbffcf242ef42f:0xf62654c96a6cfa56!8m2!3d32.7604328!4d-117.1755766?hl=en"
13,San Diego California roofing contractor,"Semper Solaris - San Diego Solar, Roofing, Heating & AC Company","964 Fifth Ave #510, San Diego, CA 92101",964 Fifth Ave #510,San Diego,CA,92101,"PR8Q+5R San Diego, California",sempersolaris.com,(619) 432-3441,"headquarters@sempersolaris.com,chat_2@2x.webp,Refer@0.5x.webp,chat@2x.webp",https://www.facebook.com/SemperSolaris/,https://twitter.com/sempersolarisco,https://www.instagram.com/sempersolaris/,32.715425,-117.160451,Manage this listing,Solar energy company,4.9,610 reviews,https://lh5.googleusercontent.com/p/AF1QipPLURZuTwZ-2vOaEdzjj3dWc5g8sjfxT-n72m1m=w426-h240-k-no,,,,,,7AM–12AM,7AM–12AM,7AM–12AM,7AM–12AM,7AM–12AM,7AM–12AM,9AM–12AM,,,"https://www.google.com/maps/place/Semper+Solaris+-+San+Diego+Solar,+Roofing,+Heating+%26+AC+Company/@33.1126338,-118.5200142,7z/data=!4m8!1m2!2m1!1sSan+Diego+California+roofing+contractor!3m4!1s0x80d95507e26a7857:0xb73f2e835bb8974f!8m2!3d32.715425!4d-117.160451?hl=en"
14,San Diego California roofing contractor,Best San Diego Roofing,"501 W Broadway, San Diego, CA 92101",501 W Broadway,San Diego,CA,92101,"PR8J+2V San Diego, California",insiderpages.com,(619) 330-5838,,,,,32.7150822,-117.1677884,Claim this business,Roofing contractor,,,//geo3.ggpht.com/cbk?panoid=UYR7whaPQehH1EzcOxvzsw&output=thumbnail&cb_client=search.gws-prod.gps&thumb=2&w=408&h=240&yaw=158.96637&pitch=0&thumbfov=100,,,,,,8AM–8PM,8AM–8PM,8AM–8PM,8AM–8PM,8AM–8PM,8AM–8PM,8AM–8PM,,,"https://www.google.com/maps/place/Best+San+Diego+Roofing/@33.1126338,-118.5200142,7z/data=!4m8!1m2!2m1!1sSan+Diego+California+roofing+contractor!3m4!1s0x80d954a981369343:0xed38c5fa9fc2a45b!8m2!3d32.7150822!4d-117.1677884?hl=en"
